year,month,central_lat,central_lon,mean_flux,TPM_flux,CO2_flux,CO_flux,CH4_flux
2020,August,-6.75,-68.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-67.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-67.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-66.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-66.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-65.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-65.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-64.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-64.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-63.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-63.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-62.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-62.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-61.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-61.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-60.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-60.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-59.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-59.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-58.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-58.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-57.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-57.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-56.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-56.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-55.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-55.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-54.75,0.004234285093843937,3.823559745796956e-05,0.007119731977581978,0.0004570691962726414,2.856682476704009e-05
2020,August,-6.75,-54.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-53.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-53.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-52.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-52.25,0.0014131112257018685,2.4870758352335542e-05,0.004631106276065111,0.00029730561072938144,1.858160067058634e-05
2020,August,-6.75,-51.75,0.0057601830922067165,0.00013651633344125003,0.025420283898711205,0.0016319194110110402,0.00010199496318819001
2020,August,-6.75,-51.25,0.000998607836663723,2.3667005734751e-05,0.0044069597497582436,0.0002829159493558109,1.768224683473818e-05
2020,August,-6.75,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.75,-48.25,0.001150302472524345,5.475439684232697e-05,0.010195646435022354,0.0006545353680849075,4.090846050530672e-05
